Date,Open,High,Low,Close,Volume
2024-02-26,91.43,94.2,88.16,90.39,427023
2024-02-27,91.13,92.29,88.65,89.3,145158
2024-02-28,90.32,93.09,89.95,90.66,1550136
2024-02-29,90.82,95.56,88.22,95.54,767701
2024-02-30,95.11,99.11,90.56,91.31,1727273
2024-03-01,89.83,92.21,86.63,91.71,1680425
2024-03-02,91.91,95.24,89.3,94.17,1539055
2024-03-03,94.02,97.35,92.84,96.1,2791133
2024-03-04,97.8,98.59,96.44,97.28,468437
2024-03-05,99.19,101.97,95.19,97.36,165632
2024-03-06,96.75,97.35,94.43,96.04,1254510
2024-03-07,95.99,96.33,91.91,92.19,247238
2024-03-08,90.88,92.69,86.9,87.71,723590
2024-03-09,89.71,94.23,87.02,91.91,1946178
2024-03-10,93.69,96.25,88.93,89.56,1028678
2024-03-11,89.32,92.2,85.13,89.1,789335
2024-03-12,89.19,93.44,86.3,88.53,1698939
2024-03-13,90.35,94.73,87.22,89.51,692027
2024-03-14,91.38,94.1,88.43,89.57,2347742
2024-03-15,88.03,88.25,86.02,87.22,284351
2024-03-16,87.28,89.4,83.23,86.7,2159572
2024-03-17,85.07,86.07,80.4,83.0,1795167
2024-03-18,82.08,84.55,81.27,82.69,2098723
2024-03-19,82.79,83.51,80.58,80.67,1191453
2024-03-20,79.19,83.13,78.88,79.7,1053194
2024-03-21,77.75,79.31,74.08,75.36,2192214
2024-03-22,73.78,77.49,72.99,75.29,1150898
2024-03-23,76.16,79.73,71.74,71.93,2755022
2024-03-24,71.58,74.32,70.61,71.37,2747927
2024-03-25,71.51,72.76,70.27,71.62,2560566
2024-03-26,73.05,74.37,69.29,73.41,859735
2024-03-27,72.67,74.38,68.04,69.42,915968
2024-03-28,70.97,71.81,69.62,71.21,1188411
2024-03-29,70.76,73.05,66.04,69.85,628496
2024-03-30,68.65,71.86,64.62,65.32,2490334
2024-04-01,66.05,70.62,61.2,62.29,2220979
2024-04-02,62.83,64.68,57.84,63.54,395917
2024-04-03,63.47,63.79,59.61,62.17,2485477
2024-04-04,62.1,63.21,61.35,61.67,762814
2024-04-05,63.63,68.28,62.97,63.3,2956176
2024-04-06,63.15,67.02,61.38,64.01,2261270
2024-04-07,63.43,64.64,61.44,63.47,271453
2024-04-08,64.85,65.92,62.47,65.02,1799960
2024-04-09,66.71,69.81,66.05,69.03,1457682
2024-04-10,70.6,74.65,67.02,73.59,2739837
2024-04-11,75.35,78.28,74.23,76.6,1530150
2024-04-12,77.82,79.26,73.25,77.72,771243
2024-04-13,78.98,81.13,74.48,80.33,1651339
2024-04-14,81.4,85.27,79.25,83.6,395915
2024-04-15,84.79,86.44,84.11,86.18,2778952
2024-04-16,87.79,88.23,86.28,88.15,1353536
2024-04-17,87.5,90.87,84.57,87.93,1734075
2024-04-18,87.99,90.58,86.77,87.23,1758320
2024-04-19,89.15,89.46,86.0,88.56,1176398
2024-04-20,88.33,90.95,84.48,88.67,145215
2024-04-21,87.06,88.46,82.51,85.78,2229949
2024-04-22,85.44,88.14,81.18,81.87,1963713
2024-04-23,83.11,83.68,80.04,82.8,289220
2024-04-24,82.35,87.06,80.3,86.86,2178365
2024-04-25,87.03,90.09,84.77,87.4,1293010
2024-04-26,87.51,90.58,85.56,86.99,2847736
2024-04-27,86.07,90.73,82.68,88.7,212664
2024-04-28,86.76,88.14,86.35,86.63,2970284
2024-04-29,86.19,90.7,82.4,82.82,1438989
2024-04-30,81.11,85.66,78.85,82.1,1122186
2024-05-01,80.28,80.95,76.19,80.52,705508
2024-05-02,82.44,86.56,79.34,80.17,2718285
2024-05-03,79.84,80.61,75.51,77.33,748960
2024-05-04,75.83,78.16,72.42,75.03,1199450
2024-05-05,75.59,79.06,73.64,77.67,674508
2024-05-06,79.48,83.2,78.14,78.72,1394371
2024-05-07,79.86,83.06,77.94,79.33,2973261
2024-05-08,80.23,83.79,79.12,80.42,1104267
2024-05-09,79.18,80.58,74.28,80.05,2965424
2024-05-10,78.21,78.7,76.71,77.56,2714515
2024-05-11,75.71,76.98,74.17,76.29,2936524
2024-05-12,74.93,76.26,70.02,73.04,1585200
2024-05-13,71.88,73.73,68.1,72.82,411832
2024-05-14,74.03,76.38,69.88,75.33,994077
2024-05-15,75.11,78.9,73.04,73.92,743685
2024-05-16,74.53,79.48,72.77,76.45,871195
2024-05-17,76.16,78.13,75.49,77.8,429284
2024-05-18,77.97,80.24,75.04,79.28,2044111
2024-05-19,78.48,82.4,77.91,78.87,2877041
2024-05-20,79.28,82.82,76.71,81.38,1475519
2024-05-21,80.51,81.4,78.59,80.63,1636769
2024-05-22,82.26,84.01,79.94,82.36,2981701
2024-05-23,84.01,86.31,79.96,81.9,1432191
2024-05-24,80.78,85.63,77.08,81.49,453525
2024-05-25,80.94,82.89,79.0,80.54,1725627
2024-05-26,81.72,85.47,79.75,81.98,749221
2024-05-27,83.33,86.23,82.28,85.28,1280507
2024-05-28,86.53,87.79,86.05,86.33,1341007
2024-05-29,88.2,91.53,84.14,84.61,2393512
2024-05-30,83.83,86.65,82.02,83.29,542102
2024-06-01,84.89,85.5,81.65,82.2,2822117
2024-06-02,81.89,85.51,79.34,84.94,1518380
2024-06-03,86.0,88.09,84.18,87.97,2920197
2024-06-04,86.52,89.06,82.46,82.94,2692744
2024-06-05,84.6,86.77,80.43,84.66,116224
2024-06-06,85.88,90.08,81.41,89.71,2785501
2024-06-07,87.81,89.75,87.56,87.8,1863522
2024-06-08,89.46,90.84,88.48,89.98,2969190
2024-06-09,88.65,89.83,86.41,87.41,348332
2024-06-10,87.3,91.01,85.64,86.48,852595
2024-06-11,88.13,91.95,87.85,89.82,252566
2024-06-12,89.07,90.22,87.15,88.96,2616692
2024-06-13,89.83,92.88,88.55,89.35,1278859
2024-06-14,88.96,93.53,84.26,90.07,2408589
2024-06-15,89.99,91.44,85.53,90.93,1534766
2024-06-16,91.57,95.47,90.93,94.85,1775311
2024-06-17,93.05,97.8,89.0,92.39,2312856
2024-06-18,93.57,97.49,89.59,90.05,1096625
2024-06-19,91.62,96.02,87.07,91.1,1134119
2024-06-20,91.95,95.06,91.0,91.64,1449742
2024-06-21,90.22,94.78,86.13,87.26,2698359
2024-06-22,86.33,89.1,85.41,88.25,105726
2024-06-23,87.07,91.67,86.15,86.86,1575252
2024-06-24,85.94,89.58,85.27,87.34,2065718
2024-06-25,85.67,89.46,82.86,86.2,179823
2024-06-26,87.36,89.56,82.76,83.38,1946293
2024-06-27,82.21,85.02,79.49,80.36,1406140
2024-06-28,79.62,81.77,76.75,81.76,2898216
2024-06-29,82.62,84.55,79.12,79.69,1753546
2024-06-30,80.39,84.17,76.42,77.36,1967769
2024-07-01,75.41,77.42,71.8,73.13,2466073
2024-07-02,71.58,75.48,67.27,74.2,967088
2024-07-03,75.81,76.74,72.6,76.48,1350766
2024-07-04,78.3,82.12,75.43,76.01,891286
2024-07-05,74.81,78.52,73.03,78.22,2460589
2024-07-06,78.1,81.37,75.76,77.91,527251
2024-07-07,76.47,77.12,73.02,75.92,854432
2024-07-08,74.69,75.07,72.27,74.24,521242
2024-07-09,73.15,74.1,72.35,73.06,404852
2024-07-10,72.43,76.58,67.78,69.0,961733
2024-07-11,70.07,74.21,68.02,70.07,1828642
2024-07-12,70.56,74.25,67.42,69.59,1127819
2024-07-13,70.23,73.35,69.94,71.07,1535444
2024-07-14,70.3,72.62,67.43,68.49,1495676
2024-07-15,69.64,73.8,66.51,67.66,2360050
2024-07-16,69.27,72.1,67.38,69.74,694560
2024-07-17,70.04,71.19,65.36,71.18,927129
2024-07-18,71.45,71.78,68.08,70.95,671580
2024-07-19,69.93,72.9,66.38,68.53,1614977
2024-07-20,67.59,72.03,65.22,70.19,1100888
2024-07-21,71.81,74.62,68.92,72.11,1208839
2024-07-22,70.78,74.56,66.27,69.04,710855
2024-07-23,67.53,71.69,65.94,71.1,1110246
2024-07-24,72.13,74.07,71.13,72.89,419905
2024-07-25,72.71,74.85,68.75,74.42,2861416
2024-07-26,72.97,76.8,68.7,76.04,2680420
2024-07-27,76.41,80.47,76.13,77.0,2063034
2024-07-28,75.13,77.86,74.36,75.78,1510302
2024-07-29,75.86,77.33,72.93,74.39,2791508
2024-07-30,75.53,79.19,71.55,74.63,2186885
2024-08-01,75.03,77.49,72.86,75.75,2991170
2024-08-02,76.01,78.16,74.46,77.75,2044069
2024-08-03,79.1,83.4,76.94,79.74,2473836
2024-08-04,78.2,82.91,76.41,79.79,1863076
2024-08-05,81.41,83.15,80.95,82.55,1917058
2024-08-06,83.48,86.55,79.67,81.77,2589056
2024-08-07,83.28,84.65,79.03,80.39,1763982
2024-08-08,82.28,84.76,81.57,84.47,2385814
2024-08-09,83.7,85.8,82.37,82.6,2892161
2024-08-10,82.08,84.9,79.17,80.11,2824227
2024-08-11,81.1,84.02,76.56,77.3,645078
2024-08-12,75.8,78.58,71.04,71.04,1123119
2024-08-13,71.95,72.26,70.92,71.51,1987596
2024-08-14,72.77,74.88,70.86,73.21,292475
2024-08-15,72.43,74.81,70.72,72.05,700736
2024-08-16,73.79,78.68,71.32,72.84,1338780
2024-08-17,74.28,77.8,73.8,75.06,1585429
2024-08-18,76.66,76.94,73.41,75.87,2448096
2024-08-19,74.68,77.92,73.56,77.4,309724
2024-08-20,78.0,79.67,73.88,79.45,1248786
2024-08-21,80.93,84.55,80.08,83.19,1967117
2024-08-22,82.85,83.86,78.51,79.16,2998884
2024-08-23,77.95,79.02,76.62,78.22,1246297
2024-08-24,77.71,81.09,73.26,77.88,1060474
2024-08-25,79.79,84.29,78.72,79.98,655930
2024-08-26,80.54,81.17,75.62,78.06,2315842
2024-08-27,76.36,80.92,76.13,78.94,2353409
2024-08-28,77.94,82.0,77.32,78.65,894909
2024-08-29,77.63,79.17,74.8,75.61,732386
2024-08-30,77.56,77.92,75.14,77.23,1713592
2024-09-01,75.24,79.72,74.75,75.07,2805184
2024-09-02,76.71,78.45,74.19,74.33,1322417
2024-09-03,74.35,78.61,70.87,74.9,2330030
2024-09-04,73.6,77.54,72.61,75.61,1087105
2024-09-05,76.28,79.11,74.85,77.9,1089597
2024-09-06,76.94,79.75,72.65,76.93,1196126
2024-09-07,75.07,78.13,71.44,75.27,855130
2024-09-08,74.57,77.69,71.45,76.48,2212728
2024-09-09,76.25,77.71,72.22,72.62,847489
2024-09-10,72.9,75.71,68.9,70.52,713338
2024-09-11,68.74,70.98,65.2,69.94,2303924
2024-09-12,71.06,74.93,68.47,72.67,2241430
2024-09-13,71.36,72.78,70.39,72.04,2599323
2024-09-14,73.19,73.68,71.02,71.99,1007419
2024-09-15,72.81,77.6,71.99,76.23,2619724
2024-09-16,78.17,79.06,75.78,78.22,264512
2024-09-17,76.23,78.4,73.51,73.96,2432413
2024-09-18,73.15,75.39,72.58,72.68,2668813
2024-09-19,71.6,73.02,68.75,69.78,2035915
2024-09-20,68.12,69.41,66.44,69.25,2662273
2024-09-21,68.12,69.09,65.11,69.07,1539493
2024-09-22,69.34,73.92,64.89,73.23,843564
2024-09-23,73.08,75.17,68.83,71.25,306568
2024-09-24,70.11,71.98,69.03,70.65,787315
2024-09-25,70.57,72.69,67.52,71.45,2082089
2024-09-26,71.24,76.21,67.78,75.05,958086
2024-09-27,75.21,77.42,74.78,75.51,1251416
2024-09-28,75.99,78.68,72.23,75.53,2479735
2024-09-29,77.22,80.85,75.73,77.58,743904
2024-09-30,78.49,82.42,77.63,78.78,600146
2024-10-01,76.86,78.61,74.81,75.13,1699591
2024-10-02,74.43,78.33,71.74,72.1,1752440
2024-10-03,72.53,75.07,71.43,73.3,635358
2024-10-04,71.43,73.13,69.19,71.33,670454
2024-10-05,71.4,74.23,69.69,71.74,1681225
2024-10-06,70.33,71.51,68.78,70.73,1799992
2024-10-07,69.28,71.96,67.37,67.84,1653836
2024-10-08,67.22,68.46,66.82,66.86,2744063
2024-10-09,66.79,67.04,62.93,65.98,2870001
2024-10-10,66.66,71.27,65.42,69.45,2895897
2024-10-11,67.94,71.86,65.94,70.58,1188770
2024-10-12,68.94,71.19,66.86,67.12,1707911
2024-10-13,68.84,70.41,65.26,66.4,1787996
2024-10-14,65.21,69.1,63.33,67.44,2282900
2024-10-15,65.81,67.65,63.58,64.19,2543759
2024-10-16,63.22,67.51,61.54,67.0,1741531
2024-10-17,65.48,70.05,60.9,63.39,1681989
2024-10-18,63.37,66.38,60.92,62.7,1162734
2024-10-19,60.99,61.36,59.24,60.03,1347014
2024-10-20,59.08,62.49,57.99,60.1,2680581
2024-10-21,59.47,63.98,59.12,62.56,1008285
2024-10-22,63.65,66.86,60.47,63.1,1843026
2024-10-23,61.35,61.88,58.92,60.25,1714695
2024-10-24,58.4,59.25,55.77,56.84,1611622
2024-10-25,56.73,57.03,53.62,54.54,1182768
2024-10-26,55.26,56.59,55.06,55.89,1752156
2024-10-27,53.9,56.73,49.62,55.06,431527
2024-10-28,55.56,58.45,51.37,58.23,1498885
2024-10-29,57.29,57.99,57.0,57.8,972274
2024-10-30,58.58,62.08,53.75,60.62,768863
2024-11-01,59.95,63.46,55.89,58.11,1839794
2024-11-02,57.25,61.05,54.49,56.04,1145650
2024-11-03,55.49,59.08,50.89,56.93,365233
2024-11-04,58.89,63.02,54.44,57.1,1994066
2024-11-05,57.15,60.61,56.76,59.15,1831015
2024-11-06,60.63,61.09,59.21,60.16,1745322
2024-11-07,59.17,62.42,57.2,60.76,869989
2024-11-08,60.1,63.94,55.85,62.55,2480136
2024-11-09,64.48,67.76,63.68,66.7,1228013
2024-11-10,67.9,68.7,65.89,67.77,1069056
2024-11-11,68.38,73.25,65.92,71.01,660980
2024-11-12,70.08,71.58,68.67,70.61,1721781
2024-11-13,72.34,77.29,71.91,75.75,596565
2024-11-14,77.23,78.36,75.32,76.96,603926
2024-11-15,76.58,81.12,72.38,79.86,818188
2024-11-16,79.35,81.03,75.31,80.11,1290063
2024-11-17,79.0,82.66,76.84,77.67,2517561
2024-11-18,77.23,80.76,74.41,79.49,716115
2024-11-19,79.26,83.46,76.39,82.73,2147942
2024-11-20,82.46,83.39,78.01,79.46,2485868
2024-11-21,78.03,81.23,76.51,77.58,2122483
2024-11-22,76.38,79.23,73.5,74.37,129903
2024-11-23,75.94,77.62,75.36,75.77,2127682
2024-11-24,74.33,78.32,69.37,73.03,234708
2024-11-25,72.69,76.76,70.59,70.95,2409188
2024-11-26,71.42,75.59,70.01,71.06,1319719
2024-11-27,72.52,77.49,70.19,76.28,297091
2024-11-28,74.98,75.31,73.97,74.13,413134
2024-11-29,73.21,73.53,70.34,70.54,2053875
2024-11-30,68.58,69.79,63.78,63.85,2311457
2024-12-01,62.91,64.29,58.27,61.25,1391628
2024-12-02,62.46,66.63,58.58,66.52,522945
2024-12-03,68.26,70.77,64.03,66.78,2716036
2024-12-04,64.87,67.84,63.58,65.23,1649035
2024-12-05,65.25,66.78,60.29,64.36,1986578
2024-12-06,63.78,65.32,59.24,61.2,494896
2024-12-07,60.26,61.49,59.2,59.31,648473
2024-12-08,59.49,62.96,58.44,58.92,699537
2024-12-09,58.41,59.49,58.1,58.66,318992
2024-12-10,58.27,60.01,55.49,59.79,958516
2024-12-11,57.87,58.91,57.35,58.27,2527630
2024-12-12,60.22,62.48,55.4,56.95,1812185
2024-12-13,58.07,62.53,53.97,54.57,1736219
2024-12-14,56.36,58.11,55.28,56.29,142273
2024-12-15,54.88,58.13,52.87,56.26,990403
2024-12-16,56.73,58.58,54.42,57.39,1878354
2024-12-17,57.41,60.34,56.66,59.74,2993391
2024-12-18,60.72,63.01,58.28,62.24,2203491
2024-12-19,61.16,64.24,58.21,61.32,235089
2024-12-20,61.43,63.8,59.87,60.05,329013
2024-12-21,61.78,62.71,59.33,62.69,2712465
2024-12-22,61.94,65.68,56.99,60.48,631375
2024-12-23,61.49,66.0,60.76,61.74,2823056
2024-12-24,62.9,63.78,62.15,62.32,1156024
2024-12-25,64.29,64.8,59.91,63.39,1151556
2024-12-26,63.46,65.33,62.26,62.3,1890293
2024-12-27,61.08,62.62,57.79,58.15,2427824
2024-12-28,57.91,61.74,53.5,54.09,2183110
2024-12-29,55.51,59.41,52.67,58.77,736566
2024-12-30,60.02,61.08,58.22,60.88,1021011
2024-13-01,62.22,62.98,61.15,61.86,2960029
2024-13-02,62.33,66.86,61.78,66.8,967120
2024-13-03,66.93,68.65,62.14,68.46,2448682
2024-13-04,69.13,71.4,68.86,69.72,1422592
2024-13-05,71.1,75.84,67.74,69.43,979056
2024-13-06,68.15,68.96,64.62,66.64,641501
2024-13-07,65.75,67.19,63.9,65.95,1388652
2024-13-08,64.73,69.71,61.21,67.47,1611308
2024-13-09,68.95,72.85,67.79,68.15,1214980
2024-13-10,67.85,71.99,65.69,68.57,2224359
2024-13-11,67.06,67.72,64.39,65.78,2165951
2024-13-12,66.1,67.67,61.71,63.42,427843
2024-13-13,64.13,66.51,59.45,62.19,1836596
2024-13-14,62.6,64.95,62.09,63.29,1279827
2024-13-15,63.63,66.99,62.15,65.35,153220
2024-13-16,66.04,67.41,63.86,64.33,1155527
2024-13-17,63.88,65.42,63.19,65.15,2577611
2024-13-18,63.57,66.93,61.19,62.39,1624973
2024-13-19,60.45,60.8,57.42,59.78,197441
2024-13-20,60.45,61.4,59.9,60.16,2221283
2024-13-21,59.42,62.84,56.31,62.65,188035
2024-13-22,64.62,66.72,60.44,64.52,561431
2024-13-23,66.51,67.03,64.09,65.27,2851738
2024-13-24,67.0,69.69,64.0,66.83,699629
2024-13-25,66.89,67.55,62.88,62.9,2821887
2024-13-26,63.68,67.65,59.13,64.78,2087077
2024-13-27,65.88,66.65,63.43,63.48,1635877
2024-13-28,65.26,69.76,64.94,66.63,2347662
2024-13-29,66.87,71.75,62.94,63.77,2227844
2024-13-30,64.03,64.56,62.69,63.93,2237867
2024-14-01,63.98,65.59,60.05,61.42,1836117
2024-14-02,61.29,66.24,58.26,59.62,538329
2024-14-03,59.46,63.74,58.76,62.99,749467
2024-14-04,61.57,64.48,60.54,62.97,598860
2024-14-05,62.62,62.87,61.68,62.65,1679370
2024-14-06,61.28,64.03,60.94,61.28,1361465
2024-14-07,62.93,65.74,59.07,64.24,1734791
2024-14-08,63.9,64.48,62.45,62.68,1858331
2024-14-09,62.0,64.55,58.66,63.88,678327
2024-14-10,64.15,66.75,59.61,62.43,1355555
2024-14-11,61.5,64.58,60.24,60.61,2100146
2024-14-12,60.15,63.46,58.35,58.95,1405083
2024-14-13,60.29,60.79,57.56,59.33,1776632
2024-14-14,60.6,64.04,56.98,57.21,1608268
2024-14-15,57.15,58.46,53.35,55.84,137577
2024-14-16,55.33,58.38,54.63,57.21,1598290
2024-14-17,59.05,61.01,55.98,57.84,1363211
2024-14-18,56.68,60.54,56.21,57.01,594530
2024-14-19,57.07,60.89,56.62,57.02,1156831
2024-14-20,57.38,61.46,52.65,58.35,1665962
2024-14-21,57.96,59.53,54.5,54.93,1044988
2024-14-22,56.26,58.04,54.54,57.41,1297404
2024-14-23,57.98,58.45,54.11,54.32,2720189
2024-14-24,52.66,53.52,50.83,52.76,2687867
2024-14-25,54.5,58.31,51.52,51.56,2109775
2024-14-26,51.23,54.69,46.31,53.99,414387
2024-14-27,52.68,53.28,49.19,49.76,1977696
2024-14-28,50.47,54.52,48.13,53.86,399689
2024-14-29,55.2,59.99,53.29,58.86,574950
2024-14-30,59.67,61.78,56.15,59.83,577635
2024-15-01,61.52,62.73,59.33,61.15,617410
2024-15-02,59.77,61.29,57.61,60.91,1683462
2024-15-03,59.71,63.28,57.14,59.82,1727389
2024-15-04,59.87,62.38,57.03,61.6,2557118
2024-15-05,60.9,61.17,56.75,59.63,1681273
2024-15-06,60.0,62.7,57.93,60.67,2038936
2024-15-07,60.1,63.1,57.59,62.99,1475823
2024-15-08,61.35,63.9,58.11,60.14,1823098
2024-15-09,60.44,61.87,59.93,61.53,1683650
2024-15-10,60.5,61.72,55.94,56.32,853774
2024-15-11,58.22,62.79,55.83,59.22,1070233
2024-15-12,57.96,61.14,54.5,57.82,730266
2024-15-13,55.96,59.51,53.03,56.6,1496852
2024-15-14,56.56,58.9,51.7,54.27,1367713
2024-15-15,52.66,56.62,51.41,52.45,2343832
2024-15-16,53.4,55.25,52.42,52.96,806334
2024-15-17,54.56,59.19,51.05,54.01,1320052
2024-15-18,54.44,58.63,49.53,50.53,1601622
2024-15-19,48.61,51.39,47.19,48.42,1160602
2024-15-20,48.66,50.12,48.1,48.16,1264279
2024-15-21,49.93,50.86,47.86,50.33,2383505
2024-15-22,51.75,54.88,48.94,53.3,2342080
2024-15-23,54.3,57.87,51.27,55.48,1385308
2024-15-24,53.7,58.4,51.76,56.99,1079068
2024-15-25,56.91,60.4,55.05,56.21,2784645
2024-15-26,56.23,59.15,54.36,55.47,2406484
2024-15-27,53.91,58.62,50.56,51.14,111216
2024-15-28,49.55,52.46,48.78,52.42,1397380
2024-15-29,51.83,52.71,47.07,50.82,690258
2024-15-30,48.94,51.88,44.02,49.41,2286018
2024-16-01,49.58,51.88,46.12,46.62,1585764
2024-16-02,47.07,51.71,42.65,43.57,685160
2024-16-03,43.51,44.09,40.97,42.71,2454901
2024-16-04,41.07,45.59,39.64,40.95,1242965
2024-16-05,42.71,47.59,37.95,46.87,1893743
2024-16-06,48.61,48.91,46.06,47.74,2976119
2024-16-07,48.03,52.54,46.31,47.37,2277876
2024-16-08,46.0,50.58,45.28,46.86,1361624
2024-16-09,48.69,49.01,48.34,48.9,2987665
2024-16-10,49.32,53.58,45.44,50.9,448353
2024-16-11,48.9,49.43,44.89,49.32,1073223
2024-16-12,48.95,50.76,47.09,47.14,1114274
2024-16-13,46.19,49.2,43.46,45.39,2930739
2024-16-14,44.8,48.13,40.13,43.44,942255
2024-16-15,42.04,43.46,39.54,42.61,1496213
2024-16-16,41.35,44.8,38.22,42.14,2508624
2024-16-17,41.16,45.57,40.07,41.35,1364546
2024-16-18,41.39,45.14,40.21,40.38,1139683
2024-16-19,40.54,41.12,36.68,37.77,1013679
2024-16-20,35.95,38.82,35.09,37.59,393157
2024-16-21,39.23,44.18,37.17,38.12,2912129
2024-16-22,39.25,41.07,35.26,37.46,1304047
2024-16-23,37.71,42.44,37.18,42.31,158046
2024-16-24,40.52,40.88,35.74,37.92,764788
2024-16-25,36.49,37.68,32.07,37.46,1435657
2024-16-26,36.83,41.5,35.95,39.92,279477
2024-16-27,38.69,39.54,35.23,39.03,2903041
2024-16-28,38.85,40.84,38.07,38.83,400541
2024-16-29,40.76,44.44,37.31,38.19,1447532
2024-16-30,36.92,37.71,34.19,36.09,2481123
2024-17-01,35.86,39.92,34.4,34.91,2841310
2024-17-02,33.8,34.37,32.11,33.83,2939942
2024-17-03,33.85,34.82,32.06,33.63,1334924
2024-17-04,33.56,38.05,30.49,33.14,2148748
2024-17-05,33.0,34.12,28.27,33.99,202473
2024-17-06,33.75,36.76,30.94,32.58,290847
2024-17-07,31.27,35.0,30.05,30.15,1021644
2024-17-08,29.85,34.67,26.71,27.21,203286
2024-17-09,25.94,26.21,24.28,24.36,1192946
2024-17-10,25.75,28.65,22.25,23.85,1430023
2024-17-11,22.52,23.41,19.54,21.91,1901954
2024-17-12,22.07,24.48,20.27,24.12,1078707
2024-17-13,24.83,28.01,20.35,25.39,2064454
2024-17-14,25.43,30.36,23.84,24.95,1414993
2024-17-15,23.89,26.89,22.93,26.68,1291362
2024-17-16,27.24,30.48,27.02,28.68,570078
2024-17-17,28.67,33.3,26.0,28.77,106905
2024-17-18,29.42,31.54,26.83,30.82,2485159
2024-17-19,30.67,31.3,28.08,29.63,2789795
2024-17-20,28.2,28.53,25.42,25.58,1275415
2024-17-21,26.78,28.11,22.6,27.0,1168069
2024-17-22,25.78,29.02,25.09,26.48,344019
2024-17-23,28.26,30.81,25.75,27.22,2892268
2024-17-24,27.23,29.07,26.09,26.73,1971059
2024-17-25,27.94,32.84,23.34,29.85,1246992
2024-17-26,31.09,35.14,30.04,34.2,1372127
2024-17-27,35.06,35.47,30.98,35.27,2859515
2024-17-28,34.64,38.64,31.51,38.01,2802299
2024-17-29,39.47,44.36,38.5,40.02,1308185
2024-17-30,41.51,43.2,40.42,42.35,1196624
2024-18-01,44.29,47.48,43.49,46.39,345646
2024-18-02,46.13,48.29,44.04,47.24,110513
2024-18-03,47.52,52.25,44.25,48.19,1712600
2024-18-04,49.03,49.42,44.59,47.0,1059277
2024-18-05,45.92,49.09,45.16,45.76,1909005
2024-18-06,45.02,46.53,43.92,45.61,2978475
2024-18-07,46.7,47.4,44.92,45.05,211686
2024-18-08,44.21,48.98,41.04,48.68,337804
2024-18-09,48.01,49.55,45.3,47.37,248473
2024-18-10,45.76,49.34,45.32,48.36,2306918
2024-18-11,47.36,48.52,44.37,45.37,1473643
2024-18-12,44.96,46.79,40.16,42.12,2782705
2024-18-13,42.25,43.48,37.63,42.25,431613
